base	10ng_kit1.1	10ng_kit1.2	10ng_kit2.1	10ng_kit2.2
1	31.5553836	31.25847315	31.55674205	30.9440502
2	31.6236809	31.08917095	31.63240905	30.71011205
3	31.68235875	31.1621567	31.6969282	30.76561885
4	31.7143813	31.19800695	31.70873565	30.7618875
5	31.7271566	31.21739595	31.72418525	30.7329051
6	35.3985903	34.8156459	35.3806821	34.24993325
7	35.37792565	34.7998585	35.36663325	34.18080355
8	35.3548795	34.75982435	35.3451904	34.10272755
9	35.35738025	34.78100685	35.34046065	34.09843575
10	35.32200895	34.7363532	35.2966583	34.0744526
11	35.3556255	34.79304465	35.34397495	34.1213763
12	35.37188555	34.7972146	35.3566198	34.1096944
13	35.36532735	34.7903998	35.3540174	34.10703485
14	35.3597265	34.76844225	35.34747915	34.0887904
15	35.3554816	34.7715434	35.34782845	34.0877561
16	35.35737675	34.76577285	35.3464778	34.0846021
17	35.3490773	34.741289	35.33806035	34.06493725
18	35.35301605	34.74234035	35.3412255	34.06585225
19	35.3346735	34.73000845	35.32159385	34.0525351
20	35.33118915	34.6887117	35.3191385	34.0116079
21	35.32719265	34.6671972	35.32097145	33.995304
22	35.28755025	34.6707063	35.27965625	33.9992395
23	35.29625785	34.654367	35.2864277	33.97959245
24	35.27735735	34.63035605	35.2726108	33.95840415
25	35.2742186	34.58161235	35.269592	33.91304605
26	35.245618	34.5808863	35.2356259	33.9091067
27	35.22620125	34.55458515	35.22526575	33.8933312
28	35.1994162	34.55354575	35.20031545	33.891177
29	35.18744845	34.5396958	35.1861576	33.8758939
30	35.17952545	34.53005285	35.18233945	33.875589
31	35.16644865	34.52238235	35.16616455	33.86617005
32	35.15186955	34.4955675	35.15487975	33.85177955
33	35.13760125	34.4613619	35.1424257	33.81590295
34	35.1273635	34.44428555	35.13587335	33.7996902
35	35.1051233	34.4197528	35.11115795	33.77451225
36	35.09839415	34.4158465	35.1079757	33.775287
37	35.0891773	34.3840722	35.0944043	33.7364663
38	35.07531335	34.37700745	35.0806841	33.73704065
39	35.0348989	34.35066945	35.0466753	33.71225085
40	35.0437227	34.36586235	35.05203485	33.7279041
41	35.00423905	34.350999	35.01831015	33.7201552
42	34.99072155	34.3279693	34.995332	33.7027699
43	34.96716725	34.311607	34.98169855	33.68974015
44	34.97351745	34.2852111	34.9922934	33.6630458
45	34.97040385	34.2588972	34.97942035	33.63523335
46	34.96417825	34.233101	34.97472935	33.61444815
47	34.9456559	34.2180365	34.9549799	33.5993034
48	34.93075185	34.18725105	34.9502127	33.57095865
49	34.93045455	34.162353	34.9398518	33.5478366
50	34.8846687	34.14418985	34.9052209	33.53215475
51	34.87985565	34.1061297	34.90714575	33.49940025
52	34.8754041	34.0798227	34.891557	33.46774545
53	34.8447609	34.02903905	34.86979305	33.42802515
54	34.82644205	34.000967	34.8532937	33.4018433
55	34.7997669	33.9661033	34.8306572	33.3654527
56	34.7896499	33.9497353	34.81708305	33.3509182
57	34.76064065	33.93259835	34.79255535	33.3433105
58	34.74630865	33.90242815	34.77672685	33.30995675
59	34.7351751	33.87655545	34.7710373	33.28394065
60	34.68765015	33.8373629	34.7281866	33.2502328
61	34.6625695	33.78898585	34.7060968	33.2074875
62	34.64181505	33.76452195	34.68424105	33.19033945
63	34.6235623	33.71986575	34.6612523	33.1501154
64	34.6075009	33.6810636	34.64081365	33.1113006
65	34.5506051	33.62743095	34.5850977	33.0662486
66	34.50619585	33.5727172	34.54939705	33.02036945
67	34.48045155	33.54933255	34.5127899	32.993319
68	34.43741705	33.49843835	34.4744873	32.9430916
69	34.40027245	33.413647	34.4491952	32.87214335
70	34.35177945	33.3660349	34.40061265	32.82177835
71	34.3181393	33.33702435	34.37880295	32.8008558
72	34.27228095	33.27879925	34.32302285	32.75238585
73	34.2160402	33.20906665	34.25859155	32.68461735
74	34.08956	33.0757392	34.13964385	32.5668841
75	33.9136957	32.7809595	33.99276365	32.2920419
76	32.63384105	30.6817976	32.7663615	30.3142391
