Acidaminococcus_sp_D21  100	1
Acidaminococcus_sp_D21	99.94152047	1
Acidaminococcus_sp_D21	100	1
Acidaminococcus_sp_D21	93.23804288	0
Acidaminococcus_sp_D21	91.58269117	0
Acidaminococcus_sp_D21	90.59125964	0
Acidaminococcus_sp_D21	91.41468683	0
Acidaminococcus_sp_D21	90.29574861	0
Acidaminococcus_sp_D21	86.01671309	0
Acidaminococcus_sp_D21	85.6029106	0
Acidaminococcus_sp_D21	85.97101449	0
Acidaminococcus_sp_D21	84.78151683	0
Acidaminococcus_sp_D21	85.44578313	0
Acidaminococcus_sp_D21	84.80113636	0
Acidaminococcus_sp_D21	85.43147208	0
Acidaminococcus_sp_D21	84.95531281	0
Acidaminococcus_sp_D21	84.96484586	0
Acidaminococcus_sp_D21	83.82257012	0
Acidaminococcus_sp_D21	82.65306122	0
Acidaminococcus_sp_D21	82.60869565	0
Acidaminococcus_sp_D21	82.98115363	0
Acidaminococcus_sp_D21	83.23831243	0
Acidaminococcus_sp_D21	82.60626398	0
Acidaminococcus_sp_D21	83.1495098	0
Acidaminococcus_sp_D21	81.79563492	0
Acidaminococcus_sp_D21	82.2522055	0
Acidaminococcus_sp_D21	82.02080238	0
Acidaminococcus_sp_D21	82.12560386	0
Acidaminococcus_sp_D21	81.28342246	0
Acidaminococcus_sp_D21	79.22899885	0
Acidaminococcus_sp_D21	79.19143876	0
Acidaminococcus_sp_D21	79.07246377	0
Acidaminococcus_sp_D21	78.64705882	0
Acidaminococcus_sp_D21	79.32659933	0
Acidaminococcus_sp_D21	79.33070866	0
Acidaminococcus_sp_D21	79.01023891	0
Acidaminococcus_sp_D21	79.22318126	0
Acidaminococcus_sp_D21	69.35086278	0
Acidaminococcus_sp_D21	66.81415929	0
Acidaminococcus_sp_D21	66.68324217	0
Acidaminococcus_sp_D21	67.36842105	0
Acidaminococcus_sp_D21	66.62983425	0
Acidaminococcus_sp_D21	66.61277284	0
Acidaminococcus_sp_D21	66.12517917	0
Acidaminococcus_sp_D21	65.54149086	0
Acidaminococcus_sp_D21	65.88235294	0
Acidaminococcus_sp_D21	65.56564822	0
Acidaminococcus_sp_D21	66.02760736	0
Acidaminococcus_sp_D21	65.29100529	0
Acidaminococcus_sp_D21	65.08083141	0
Acidaminococcus_sp_D21	65.20644512	0
Acidaminococcus_sp_D21	64.88492947	0
Acidaminococcus_sp_D21	65.45454545	0
Acidaminococcus_sp_D21	64.28918001	0
Acidaminococcus_sp_D21	64.12924425	0
